#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 05 00 351 14.4 15.8 99.00 99.00 99.00 999 1032.3  12.4 999.0  -3.4 99.0 99.00
2012 01 03 06 00 353 11.9 13.3 99.00 99.00 99.00 999 1032.4  11.5 999.0  -0.6 99.0 99.00
2012 01 03 07 00 351 13.8 15.5 99.00 99.00 99.00 999 1032.3  11.0 999.0  -1.1 99.0 99.00
2012 01 03 08 00 357 14.6 15.9 99.00 99.00 99.00 999 1032.1  10.4 999.0  -4.5 99.0 99.00
2012 01 03 09 00 355 14.7 16.1 99.00 99.00 99.00 999 1032.1   9.9 999.0  -3.2 99.0 99.00
2012 01 03 10 00   2 12.6 14.1 99.00 99.00 99.00 999 1032.5   8.9 999.0  -2.7 99.0 99.00
2012 01 03 11 00   7 14.8 16.2 99.00 99.00 99.00 999 1032.8   7.9 999.0  -5.0 99.0 99.00
2012 01 03 12 00  11 12.7 13.8 99.00 99.00 99.00 999 1033.5   7.1 999.0  -3.5 99.0 99.00
2012 01 03 13 00  14 10.7 12.0 99.00 99.00 99.00 999 1033.9   6.8 999.0  -3.0 99.0 99.00
2012 01 03 14 00  15 11.4 12.5 99.00 99.00 99.00 999 1034.2   6.5 999.0  -3.5 99.0 99.00
2012 01 03 15 00  28 11.5 12.1 99.00 99.00 99.00 999 1035.1   6.7 999.0  -4.8 99.0 99.00
2012 01 03 16 00  27 10.1 11.7 99.00 99.00 99.00 999 1035.4   7.0 999.0  -3.5 99.0 99.00
2012 01 03 17 00  22 11.1 11.9 99.00 99.00 99.00 999 1034.3   7.1 999.0  -6.0 99.0 99.00
2012 01 03 18 00  15  7.8  9.1 99.00 99.00 99.00 999 1033.7   7.0 999.0  -4.6 99.0 99.00
2012 01 03 19 00  13  8.0  9.1 99.00 99.00 99.00 999 1032.8   7.0 999.0  -5.9 99.0 99.00
2012 01 03 20 00  11  8.5  9.4 99.00 99.00 99.00 999 1032.4   7.4 999.0  -5.3 99.0 99.00
2012 01 03 21 00  17  8.0  8.5 99.00 99.00 99.00 999 1032.5   7.4 999.0  -6.9 99.0 99.00
2012 01 03 22 00  29  6.6  7.3 99.00 99.00 99.00 999 1032.1   7.2 999.0  -4.4 99.0 99.00
2012 01 03 23 00  25  4.9  5.7 99.00 99.00 99.00 999 1031.9   6.9 999.0  -3.8 99.0 99.00
2012 01 04 00 00  39  4.2  4.7 99.00 99.00 99.00 999 1031.9   6.6 999.0  -3.7 99.0 99.00
2012 01 04 01 00  22  4.8  5.1 99.00 99.00 99.00 999 1032.2   6.6 999.0  -4.0 99.0 99.00
2012 01 04 02 00  35  4.1  4.5 99.00 99.00 99.00 999 1032.4   6.9 999.0  -3.0 99.0 99.00
2012 01 04 03 00  36  3.1  3.6 99.00 99.00 99.00 999 1032.5   7.4 999.0  -3.7 99.0 99.00
2012 01 04 04 00   6  2.7  2.8 99.00 99.00 99.00 999 1032.2   7.6 999.0  -5.2 99.0 99.00
2012 01 04 05 00 352  2.4  2.8 99.00 99.00 99.00 999 1031.7   8.1 999.0  -6.4 99.0 99.00
2012 01 04 06 00   1  1.7  1.9 99.00 99.00 99.00 999 1031.3   8.2 999.0  -5.3 99.0 99.00
2012 01 04 07 00  16  1.2  1.2 99.00 99.00 99.00 999 1030.8   8.2 999.0  -3.4 99.0 99.00
2012 01 04 08 00  25  2.1  2.2 99.00 99.00 99.00 999 1030.2   8.1 999.0  -3.0 99.0 99.00
2012 01 04 09 00  18  1.8  1.8 99.00 99.00 99.00 999 1029.9   8.1 999.0  -5.7 99.0 99.00
2012 01 04 10 00  20  2.2  2.3 99.00 99.00 99.00 999 1029.9   8.3 999.0  -0.6 99.0 99.00
2012 01 04 11 00  28  2.4  2.6 99.00 99.00 99.00 999 1030.1   8.2 999.0  -4.5 99.0 99.00
2012 01 04 12 00  54  3.1  3.3 99.00 99.00 99.00 999 1030.0   8.2 999.0   0.6 99.0 99.00
2012 01 04 13 00  53  3.7  3.9 99.00 99.00 99.00 999 1030.4   8.6 999.0   2.5 99.0 99.00
2012 01 04 14 00  61  2.9  3.0 99.00 99.00 99.00 999 1030.9   9.5 999.0   3.8 99.0 99.00
2012 01 04 15 00  34  2.8  2.9 99.00 99.00 99.00 999 1031.5  10.0 999.0   3.8 99.0 99.00
2012 01 04 16 00   9  4.1  4.3 99.00 99.00 99.00 999 1031.8  10.7 999.0   3.8 99.0 99.00
2012 01 04 17 00   1  5.9  6.1 99.00 99.00 99.00 999 1031.9  11.0 999.0   4.3 99.0 99.00
2012 01 04 18 00   9  4.3  4.4 99.00 99.00 99.00 999 1030.7  11.6 999.0   5.2 99.0 99.00
2012 01 04 19 00  61  3.0  3.1 99.00 99.00 99.00 999 1028.8  12.4 999.0   7.0 99.0 99.00
2012 01 04 20 00  46  2.9  3.0 99.00 99.00 99.00 999 1028.3  12.3 999.0   7.5 99.0 99.00
2012 01 04 21 00 112  3.2  3.3 99.00 99.00 99.00 999 1027.8  13.0 999.0   8.2 99.0 99.00
2012 01 04 22 00 126  6.1  6.5 99.00 99.00 99.00 999 1027.3  13.8 999.0   9.0 99.0 99.00
2012 01 04 23 00 152  5.1  5.8 99.00 99.00 99.00 999 1027.3  14.5 999.0   9.7 99.0 99.00
2012 01 05 00 00 167  5.0  5.1 99.00 99.00 99.00 999 1027.5  15.1 999.0  10.5 99.0 99.00
2012 01 05 01 00 170  5.0  5.3 99.00 99.00 99.00 999 1027.5  15.6 999.0  10.5 99.0 99.00
2012 01 05 02 00 171  4.9  5.1 99.00 99.00 99.00 999 1027.8  16.0 999.0  10.8 99.0 99.00
2012 01 05 03 00 192  5.3  5.4 99.00 99.00 99.00 999 1027.7  16.6 999.0  10.5 99.0 99.00
2012 01 05 04 00 201  5.7  5.9 99.00 99.00 99.00 999 1027.6  16.1 999.0  11.2 99.0 99.00
2012 01 05 05 00 210  5.3  5.5 99.00 99.00 99.00 999 1027.6  16.4 999.0  11.9 99.0 99.00
2012 01 05 06 00 222  6.8  6.9 99.00 99.00 99.00 999 1027.2  16.4 999.0  12.1 99.0 99.00
2012 01 05 07 00 219  5.9  6.0 99.00 99.00 99.00 999 1026.9  16.3 999.0  12.3 99.0 99.00
2012 01 05 08 00 231  6.1  6.1 99.00 99.00 99.00 999 1026.9  16.5 999.0  12.5 99.0 99.00
2012 01 05 09 00 245  5.6  5.7 99.00 99.00 99.00 999 1026.7  16.4 999.0  13.2 99.0 99.00
2012 01 05 10 00 239  5.9  6.0 99.00 99.00 99.00 999 1026.4  17.0 999.0  13.3 99.0 99.00
2012 01 05 11 00 235  6.3  6.5 99.00 99.00 99.00 999 1026.4  17.1 999.0  13.7 99.0 99.00
2012 01 05 12 00 234  5.7  5.8 99.00 99.00 99.00 999 1026.4  17.4 999.0  14.1 99.0 99.00
2012 01 05 13 00 241  6.0  6.1 99.00 99.00 99.00 999 1026.3  16.9 999.0  14.4 99.0 99.00
2012 01 05 14 00 237  6.3  6.4 99.00 99.00 99.00 999 1026.4  17.5 999.0  14.8 99.0 99.00
2012 01 05 15 00 311  3.9  4.9 99.00 99.00 99.00 999 1027.2  16.6 999.0  15.1 99.0 99.00
2012 01 05 16 00 285  2.0  2.5 99.00 99.00 99.00 999 1027.4  16.3 999.0  13.7 99.0 99.00
2012 01 05 17 00 219  1.8  2.2 99.00 99.00 99.00 999 1026.6  15.7 999.0  14.4 99.0 99.00
2012 01 05 18 00 251  1.5  1.7 99.00 99.00 99.00 999 1025.5  15.8 999.0  14.4 99.0 99.00
2012 01 05 19 00 260  1.6  1.9 99.00 99.00 99.00 999 1024.8  15.9 999.0  14.2 99.0 99.00
2012 01 05 20 00 280  1.6  1.7 99.00 99.00 99.00 999 1024.3  16.6 999.0  14.5 99.0 99.00
2012 01 05 21 00 254  1.9  2.0 99.00 99.00 99.00 999 1023.8  16.6 999.0  14.9 99.0 99.00
2012 01 05 22 00 248  3.0  3.1 99.00 99.00 99.00 999 1023.6  17.0 999.0  15.0 99.0 99.00
2012 01 05 23 00 243  3.1  3.2 99.00 99.00 99.00 999 1023.6  16.7 999.0  15.8 99.0 99.00
2012 01 06 00 00 258  2.7  2.8 99.00 99.00 99.00 999 1023.8  17.0 999.0  16.4 99.0 99.00
2012 01 06 01 00 246  1.6  1.8 99.00 99.00 99.00 999 1023.9  16.3 999.0  16.2 99.0 99.00
2012 01 06 02 00 241  3.0  3.1 99.00 99.00 99.00 999 1024.4  16.2 999.0  16.2 99.0 99.00
2012 01 06 03 00 249  4.0  4.1 99.00 99.00 99.00 999 1024.2  16.4 999.0  16.4 99.0 99.00
2012 01 06 04 00 258  4.2  4.2 99.00 99.00 99.00 999 1023.9  16.6 999.0  16.6 99.0 99.00
2012 01 06 05 00 258  3.4  3.6 99.00 99.00 99.00 999 1023.6  16.2 999.0  16.2 99.0 99.00
2012 01 06 06 00 243  4.4  4.4 99.00 99.00 99.00 999 1023.1  16.6 999.0  16.6 99.0 99.00
2012 01 06 07 00 253  4.2  4.3 99.00 99.00 99.00 999 1022.7  17.2 999.0  16.6 99.0 99.00
2012 01 06 08 00 250  4.2  4.2 99.00 99.00 99.00 999 1022.4  16.7 999.0  16.3 99.0 99.00
2012 01 06 09 00 256  2.5  2.6 99.00 99.00 99.00 999 1022.0  16.8 999.0  16.6 99.0 99.00
2012 01 06 10 00 229  1.6  1.6 99.00 99.00 99.00 999 1021.7  15.5 999.0  15.5 99.0 99.00
2012 01 06 11 00 224  1.1  1.2 99.00 99.00 99.00 999 1021.9  15.1 999.0  15.1 99.0 99.00
2012 01 06 12 00 214  1.3  1.4 99.00 99.00 99.00 999 1022.0  15.9 999.0  15.9 99.0 99.00
2012 01 06 13 00 253  1.5  1.6 99.00 99.00 99.00 999 1022.3  16.2 999.0  16.2 99.0 99.00
2012 01 06 14 00 182  2.6  3.4 99.00 99.00 99.00 999 1022.6  15.9 999.0  15.8 99.0 99.00
2012 01 06 15 00 275  1.4  1.4 99.00 99.00 99.00 999 1023.0  17.3 999.0  16.1 99.0 99.00
2012 01 06 16 00 134  4.2  4.6 99.00 99.00 99.00 999 1023.3  14.6 999.0  13.8 99.0 99.00
2012 01 06 17 00 131  3.0  3.1 99.00 99.00 99.00 999 1022.9  16.1 999.0  14.7 99.0 99.00
2012 01 06 18 00 141  2.4  2.5 99.00 99.00 99.00 999 1022.4  16.9 999.0  15.1 99.0 99.00
2012 01 06 19 00 150  0.7  0.8 99.00 99.00 99.00 999 1021.3  17.7 999.0  15.4 99.0 99.00
2012 01 06 20 00 132  1.3  1.4 99.00 99.00 99.00 999 1020.7  17.9 999.0  15.4 99.0 99.00
2012 01 06 21 00 113  3.0  3.2 99.00 99.00 99.00 999 1020.5  17.3 999.0  16.0 99.0 99.00
2012 01 06 22 00 117  2.6  2.7 99.00 99.00 99.00 999 1020.4  17.6 999.0  15.2 99.0 99.00
2012 01 06 23 00 120  3.0  3.1 99.00 99.00 99.00 999 1020.3  17.7 999.0  15.6 99.0 99.00
2012 01 07 00 00 124  3.7  3.8 99.00 99.00 99.00 999 1020.2  17.7 999.0  15.1 99.0 99.00
2012 01 07 01 00 137  3.8  4.0 99.00 99.00 99.00 999 1020.4  17.1 999.0  14.9 99.0 99.00
2012 01 07 02 00 126  5.7  5.8 99.00 99.00 99.00 999 1020.3  17.0 999.0  15.1 99.0 99.00
2012 01 07 03 00 135  6.2  6.3 99.00 99.00 99.00 999 1020.3  16.9 999.0  15.5 99.0 99.00
2012 01 07 04 00 134  5.7  5.7 99.00 99.00 99.00 999 1020.1  17.1 999.0  15.9 99.0 99.00
2012 01 07 05 00 131  5.4  5.6 99.00 99.00 99.00 999 1019.8  17.6 999.0  15.7 99.0 99.00
2012 01 07 06 00 121  7.3  7.4 99.00 99.00 99.00 999 1019.2  17.1 999.0  15.6 99.0 99.00
2012 01 07 07 00 134  7.9  8.2 99.00 99.00 99.00 999 1019.0  17.7 999.0  15.8 99.0 99.00
2012 01 07 08 00 138  6.7  6.8 99.00 99.00 99.00 999 1018.9  17.2 999.0  15.3 99.0 99.00
2012 01 07 09 00 138  5.2  5.5 99.00 99.00 99.00 999 1018.5  18.6 999.0  16.3 99.0 99.00
2012 01 07 10 00 160  5.5  5.7 99.00 99.00 99.00 999 1018.8  17.3 999.0  15.9 99.0 99.00
2012 01 07 11 00 167  4.2  4.3 99.00 99.00 99.00 999 1018.9  16.6 999.0  15.4 99.0 99.00
2012 01 07 12 00 206  3.8  4.0 99.00 99.00 99.00 999 1019.2  17.6 999.0  15.1 99.0 99.00
2012 01 07 13 00 212  4.0  4.0 99.00 99.00 99.00 999 1019.5  18.5 999.0  15.0 99.0 99.00
2012 01 07 14 00 210  2.8  3.0 99.00 99.00 99.00 999 1020.2  19.6 999.0  14.9 99.0 99.00
2012 01 07 15 00 214  1.6  1.8 99.00 99.00 99.00 999 1020.8  19.8 999.0  12.6 99.0 99.00
2012 01 07 16 00 178  2.3  2.4 99.00 99.00 99.00 999 1021.3  19.8 999.0  14.3 99.0 99.00
2012 01 07 17 00 226  6.4  6.7 99.00 99.00 99.00 999 1021.1  18.7 999.0  14.4 99.0 99.00
2012 01 07 18 00 260  5.7  5.9 99.00 99.00 99.00 999 1020.3  19.1 999.0  16.1 99.0 99.00
2012 01 07 19 00 199  4.1  4.3 99.00 99.00 99.00 999 1019.6  17.7 999.0  15.4 99.0 99.00
2012 01 07 20 00 184  4.3  4.5 99.00 99.00 99.00 999 1019.2  18.4 999.0  14.1 99.0 99.00
2012 01 07 21 00 212  2.4  2.5 99.00 99.00 99.00 999 1019.1  19.4 999.0  12.6 99.0 99.00
2012 01 07 22 00 153  3.4  3.6 99.00 99.00 99.00 999 1019.3  18.2 999.0  14.0 99.0 99.00
2012 01 07 23 00 132  3.5  3.6 99.00 99.00 99.00 999 1019.4  18.6 999.0  14.2 99.0 99.00
2012 01 08 00 00 126  4.7  4.9 99.00 99.00 99.00 999 1019.6  17.6 999.0  15.6 99.0 99.00
2012 01 08 01 00 135  6.1  6.2 99.00 99.00 99.00 999 1019.6  16.9 999.0  15.9 99.0 99.00
2012 01 08 02 00 132  4.4  4.7 99.00 99.00 99.00 999 1020.1  16.1 999.0  15.4 99.0 99.00
2012 01 08 03 00 140  6.3  6.4 99.00 99.00 99.00 999 1020.4  16.7 999.0  15.4 99.0 99.00
